,Ticker,SimFinId,IndustryId,Fiscal Year,EPS,PE,EPS Growth Rate,PEG,Market Cap,Price to Book,Debt to Equity,Change in Working Capital,"Selling, General & Administrative",Research & Development,Adj. Close
2322,BMY,255210.0,106005.0,2018.0,3.005497861942578,15.954095528455285,2.2244286966144338,7.172221592329445,78494150000.0,5.556321228852552,1.476534296028881,176000000.0,-4551000000.0,-6345000000.0,47.95
2323,BMY,255210.0,106005.0,2019.0,2.008761682242991,30.521291072986333,-0.3316376272699642,-92.03205114038816,104962720000.0,2.0303052342450383,1.5135208325273706,3588000000.0,-4871000000.0,-6148000000.0,61.31
2325,BNED,75409.0,103002.0,2015.0,0.49702543319564596,20.019096278486305,,,383005350.0,inf,inf,-53660000.0,-359504000.0,,9.95
2326,BNED,75409.0,103002.0,2018.0,-5.4009794067959715,-0.7424579317881266,-11.866605702790997,0.06256700107710685,187519630.0,0.40071465051724175,1.2207118938890469,-24481000.0,-433746000.0,,4.01
2327,BNED,75409.0,103002.0,2019.0,-0.5152411956200059,-8.287380815623203,0.9046022662164411,-9.16135314394659,201996619.99999997,0.4482558118891857,1.099691985407032,20760000.0,-423880000.0,,4.27
2328,BNFT,967945.0,101002.0,2013.0,-2.992929092885492,-19.292137637758966,,,585728590.82,51.235880932470266,11.212298810356893,19378000.0,-47046000.0,-23532000.0,57.74
2329,BNFT,967945.0,101002.0,2014.0,-2.5063971066246062,-13.10247283369474,0.16256047876891688,-80.6006043591947,827801131.1600001,-19.330759899119634,-4.2696915209116595,24827000.0,-67124000.0,-41729000.0,32.84
2330,BNFT,967945.0,101002.0,2015.0,-2.1903228401237906,-16.613989195283807,0.12610701858273227,-131.7451588500146,1031462905.2,-57.27485730468099,-11.112665889277583,1289000.0,-84316000.0,-52250000.0,36.39
2331,BNFT,967945.0,101002.0,2018.0,-1.6572084726818188,-27.58856278716248,0.2433953377447508,-113.34877258862971,1451903293.8,-142.20404444662097,-31.74818805093046,9033000.0,-121241000.0,-47902000.0,45.72
2332,BNFT,967945.0,101002.0,2019.0,-1.3987508446592765,-15.685423950785456,0.15595963470080917,-100.57361304337599,713922071.12,-27.83973136484168,-13.934136640149744,-26176000.0,-121378000.0,-54724000.0,21.94
2333,BONT,200557.0,103002.0,2010.0,1.2009251604716271,9.309489357029868,,,200098164.24,1.0913334146341465,8.033111174134998,-10569000.0,-942660000.0,,11.18
2334,BONT,200557.0,103002.0,2012.0,-1.1632557971594495,-9.76569386349928,-1.9686330467942033,4.960647124867738,210479999.84,1.9029709042909064,13.775048369889518,-27493000.0,-936175000.0,,11.36
2335,BONT,200557.0,103002.0,2013.0,-0.18616103180537147,-82.45549485376827,0.8399655241263723,-98.16533236828765,293211739.7,2.2915044210509863,11.32633874144237,8906000.0,-899363000.0,,15.35
2336,BONT,200557.0,103002.0,2014.0,-0.3591572031696267,-19.879874152566675,-0.929282405058434,21.392715545191685,138642242.34,1.5818072556133627,17.171926341730558,-51605000.0,-907036000.0,,7.14
2337,BONT,200557.0,103002.0,2015.0,-2.8973982883853093,-0.7247881688955883,-7.067214753916252,0.10255640929744657,41351339.4,1.1843091820368885,43.41018444266239,-39074000.0,-905652000.0,,2.1
2341,BOOM,953277.0,107004.0,2010.0,0.40871763270747136,51.18448123076924,,,269486293.68,1.994953463622635,0.49087234609576263,683000.0,-24831000.0,,20.92
2342,BOOM,953277.0,107004.0,2012.0,0.812211402869291,16.15342994896539,0.9872188960602282,16.362561548842052,174085514.56,1.070926416496469,0.4483070449568149,-5693000.0,-35443000.0,,13.12
2343,BOOM,953277.0,107004.0,2013.0,0.4771182324686381,43.34355426536615,-0.4125689065886944,-105.057733564437,279956017.0,1.6179716521507956,0.39020048662362955,8110000.0,-40808000.0,,20.68
2344,BOOM,953277.0,107004.0,2014.0,0.1875131439993566,81.96758729645501,-0.6069880980461543,-135.03985920037323,210410796.59,1.3582338481748055,0.41580221411741924,-2078000.0,-41870000.0,,15.37
