,Ticker,Adj. Close,Year
251173,FFIV,97.15,2012
251425,FFIV,90.86,2013
251677,FFIV,130.47,2014
251929,FFIV,96.96,2015
252683,FFIV,162.03,2018
252935,FFIV,139.65,2019
253297,BBBY,25.48,2007
253550,BBBY,22.04,2008
253802,BBBY,33.47,2009
254054,BBBY,42.61,2010
254556,BBBY,48.47,2012
254808,BBBY,69.61,2013
255060,BBBY,66.03,2014
255312,BBBY,41.83,2015
256066,BBBY,10.48,2018
256318,BBBY,16.84,2019
256680,GS,177.74,2007
256933,GS,70.37,2008
257185,GS,142.52,2009
257437,GS,143.29,2010
257939,GS,111.77,2012
258191,GS,157.35,2013
258443,GS,174.31,2014
258695,GS,164.22,2015
259449,GS,158.67,2018
259701,GS,222.88,2019
260063,TRNS,6.9,2007
260316,TRNS,7.8,2008
260568,TRNS,7.75,2009
260820,TRNS,8.75,2010
261322,TRNS,5.93,2012
261574,TRNS,7.99,2013
261826,TRNS,10.22,2014
262078,TRNS,9.94,2015
262832,TRNS,19.02,2018
263084,TRNS,31.86,2019
263446,MU,7.25,2007
263699,MU,2.64,2008
263951,MU,10.56,2009
264203,MU,8.02,2010
264705,MU,6.34,2012
264957,MU,21.75,2013
265209,MU,35.01,2014
265461,MU,14.16,2015
266215,MU,31.73,2018
266467,MU,53.78,2019
266830,ABBV,38.74,2013
267082,ABBV,49.57,2014
267334,ABBV,46.37,2015
268088,ABBV,80.79,2018
268340,ABBV,81.99,2019
268702,ACN,27.42,2007
268955,ACN,25.74,2008
269207,ACN,33.19,2009
269459,ACN,39.51,2010
269961,ACN,56.5,2012
270213,ACN,71.52,2013
270465,ACN,79.67,2014
270717,ACN,95.23,2015
271471,ACN,136.16,2018
271723,ACN,205.88,2019
272085,AGN,25.58,2007
272338,AGN,25.04,2008
272590,AGN,37.33,2009
272842,AGN,48.67,2010
273344,AGN,81.04,2012
273596,AGN,158.43,2013
273848,AGN,242.96,2014
274100,AGN,295.06,2015
274854,AGN,130.08,2018
275106,AGN,189.71,2019
275446,AYI,40.87,2007
275699,AYI,32.14,2008
275951,AYI,33.4,2009
276203,AYI,54.71,2010
276705,AYI,65.47,2012
276957,AYI,106.39,2013
277209,AYI,136.89,2014
277461,AYI,229.16,2015
278215,AYI,113.66,2018
278467,AYI,137.01,2019
278829,AET,52.23,2007
279082,AET,25.83,2008
279334,AET,28.77,2009
279586,AET,27.72,2010
280088,AET,43.27,2012
280340,AET,65.01,2013
280592,AET,85.21,2014
280844,AET,104.71,2015
281828,AES,14.6,2007
282081,AES,5.62,2008
282333,AES,10.22,2009
282585,AES,9.35,2010
283087,AES,8.25,2012
283339,AES,11.33,2013
283591,AES,10.9,2014
283843,AES,7.83,2015
284597,AES,13.37,2018
284849,AES,19.01,2019
285211,AMG,113.84,2007
285464,AMG,40.63,2008
285716,AMG,65.27,2009
285968,AMG,96.16,2010
286470,AMG,126.14,2012
286722,AMG,210.19,2013
286974,AMG,205.7,2014
287226,AMG,154.84,2015
287980,AMG,95.64,2018
288232,AMG,84.37,2019
288594,AFL,22.37,2007
288847,AFL,16.67,2008
289099,AFL,17.41,2009
289351,AFL,21.74,2010
289853,AFL,21.62,2012
290105,AFL,27.87,2013
290357,AFL,26.12,2014
290609,AFL,26.25,2015
291363,AFL,42.84,2018
291615,AFL,50.79,2019
291977,AMZN,92.64,2007
292230,AMZN,51.28,2008
292482,AMZN,134.52,2009
292734,AMZN,180.0,2010
293236,AMZN,250.87,2012
293488,AMZN,398.79,2013
293740,AMZN,310.35,2014
293992,AMZN,675.89,2015
294746,AMZN,1501.97,2018
294998,AMZN,1847.84,2019
295773,SITE,55.27,2018
296025,SITE,90.65,2019
296387,LZB,6.9,2007
296640,LZB,1.93,2008
296892,LZB,8.48,2009
297144,LZB,8.02,2010
297646,LZB,12.62,2012
297898,LZB,27.88,2013
298150,LZB,24.4,2014
298402,LZB,22.48,2015
299156,LZB,26.76,2018
299408,LZB,30.91,2019
299590,FUEL,61.49,2013
299842,FUEL,16.12,2014
300094,FUEL,3.49,2015
300770,BREW,6.65,2007
301023,BREW,1.2,2008
301275,BREW,2.4,2009
301527,BREW,7.39,2010
302029,BREW,6.48,2012
302281,BREW,16.42,2013
302533,BREW,13.34,2014
302785,BREW,8.37,2015
303539,BREW,14.31,2018
303791,BREW,16.5,2019
304153,ABT,19.49,2007
304406,ABT,19.01,2008
304658,ABT,19.87,2009
304910,ABT,18.22,2010
305412,ABT,26.69,2012
305664,ABT,33.03,2013
305916,ABT,39.67,2014
306168,ABT,40.42,2015
306922,ABT,69.51,2018
307174,ABT,84.87,2019
307536,MEI,12.71,2007
307789,MEI,5.34,2008
308041,MEI,7.17,2009
308293,MEI,11.0,2010
308795,MEI,9.08,2012
309047,MEI,31.31,2013
309299,MEI,33.78,2014
309551,MEI,29.76,2015
310305,MEI,22.49,2018
310557,MEI,38.59,2019
310919,CYAN,1.4,2007
311172,CYAN,1.46,2008
311424,CYAN,5.29,2009
311676,CYAN,3.38,2010
312178,CYAN,4.63,2012
312430,CYAN,4.93,2013
312682,CYAN,6.93,2014
312934,CYAN,5.25,2015
313686,CYAN,3.02,2018
313938,CYAN,2.29,2019
314147,HLI,23.06,2015
314901,HLI,34.71,2018
315153,HLI,47.31,2019
315515,WSCI,4.78,2007
315768,WSCI,2.58,2008
316020,WSCI,1.75,2009
316272,WSCI,5.21,2010
316774,WSCI,6.1,2012
317026,WSCI,5.62,2013
317278,WSCI,5.43,2014
317530,WSCI,4.21,2015
318500,ALXN,18.76,2007
318753,ALXN,18.1,2008
319005,ALXN,24.41,2009
319257,ALXN,40.28,2010
319759,ALXN,93.74,2012
320011,ALXN,132.88,2013
320263,ALXN,185.03,2014
320515,ALXN,190.75,2015
321269,ALXN,97.36,2018
321521,ALXN,108.15,2019
321883,ALK,5.63,2007
322136,ALK,6.58,2008
322388,ALK,7.77,2009
322640,ALK,12.75,2010
323142,ALK,19.38,2012
323394,ALK,33.2,2013
323646,ALK,54.66,2014
323898,ALK,74.47,2015
324652,ALK,59.21,2018
324904,ALK,67.37,2019
325266,AMGN,36.51,2007
325519,AMGN,45.41,2008
325771,AMGN,44.48,2009
326023,AMGN,43.17,2010
326525,AMGN,69.79,2012
326777,AMGN,94.08,2013
327029,AMGN,133.89,2014
327281,AMGN,139.2,2015
328035,AMGN,181.2,2018
328287,AMGN,231.25,2019
328649,APH,10.56,2007
328902,APH,5.47,2008
329154,APH,10.56,2009
329406,APH,12.08,2010
329908,APH,14.94,2012
330160,APH,20.75,2013
330412,APH,25.27,2014
330664,APH,24.77,2015
331418,APH,39.51,2018
